DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7360, 2.900, 3.010, 3.070, 2.880, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7359, 5.780, 5.600, 5.810, 5.480, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7358, 8.960, 9.010, 9.280, 8.870, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7357, 12.150, 11.670, 12.290, 11.440, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7356, 12.930, 12.930, 13.340, 12.800, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7355, 12.270, 12.090, 12.490, 12.030, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7354, 1.610, 1.770, 1.770, 1.610, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7352, 3.790, 3.820, 3.890, 3.780, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7350, 9.940, 9.840, 10.130, 9.700, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7348, 70.300, 69.980, 71.430, 68.990, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7347, 6.370, 6.430, 6.520, 6.360, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7346, 3.800, 3.840, 3.900, 3.790, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7345, 50.000, 51.220, 52.800, 49.880, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7344, 5.220, 5.190, 5.270, 5.150, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7343, 6.620, 6.640, 6.720, 6.510, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7342, 7.140, 7.120, 7.390, 6.930, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7341, 2.510, 2.650, 2.680, 2.510, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7340, 7.560, 7.440, 7.660, 7.360, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7339, 5.780, 5.810, 5.930, 5.730, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7338, 9.200, 8.910, 9.270, 8.810, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7337, 3.280, 3.410, 3.450, 3.280, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7336, 7.130, 7.130, 7.130, 7.130, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7335, 9.650, 9.580, 10.000, 9.310, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7334, 1.270, 1.340, 1.340, 1.270, 2019-02-27]
DEBUG scheduling-1 druid.sql.ResultSet - {conn-10005, pstmt-20000, rs-50000} Result: [7333, 14.000, 13.740, 14.020, 13.680, 2019-02-27]
